seq,n,w,w_vector,status_at_freeze,reported_class,training_id,prototype_path_length
328,6,yxy^{-2}x^{-1}y^{-1},2 1 -2 -2 -1 -2,open,19_{33},,
329,7,yxy^{-2}x^{-1}y^{-1},2 1 -2 -2 -1 -2,open,17_{41},,
330,1,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,certified,,ms-train-0163,25
331,2,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,certified,,ms-train-0164,12
332,3,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,uncertified,,,
333,4,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,uncertified,,,
334,5,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,open,17_{30},,
335,6,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,open,16_6,,
336,7,y^{2}xyx^{-1}y^{-1},2 2 1 2 -1 -2,open,23_{22},,
337,1,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,certified,,ms-train-0165,15
338,2,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,certified,,ms-train-0166,34
339,3,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,uncertified,,,
340,4,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,uncertified,,,
341,5,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,open,16_5,,
342,6,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,open,19_{36},,
343,7,x^{-1}y^{-2}xy^{-2},-1 -2 -2 1 -2 -2,open,20_{11},,
344,1,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,certified,,ms-train-0167,12
345,2,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,certified,,ms-train-0168,38
346,3,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,open,13_1,,
347,4,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,open,15_1,,
348,5,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,open,16_1,,
349,6,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,open,17_1,,
350,7,yxyx^{-1}y^{-2},2 1 2 -1 -2 -2,open,18_7,,
351,1,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,certified,,ms-train-0169,38
352,2,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,open,14_1,,
353,3,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,open,16_2,,
354,4,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,open,18_3,,
355,5,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,open,20_3,,
356,6,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,open,22_4,,
357,7,x^{-2}y^{-1}x^{2}y^{-1},-1 -1 -2 1 1 -2,open,24_4,,
358,1,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,certified,,ms-train-0170,31
359,2,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,open,14_2,,
360,3,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,open,16_3,,
361,4,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,open,18_2,,
362,5,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,open,20_2,,
363,6,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,open,22_3,,
364,7,x^{-2}y^{-1}x^{2}y,-1 -1 -2 1 1 2,open,24_3,,
365,1,yx^{2}yx^{-2},2 1 1 2 -1 -1,certified,,ms-train-0171,28
366,2,yx^{2}yx^{-2},2 1 1 2 -1 -1,open,14_1,,
367,3,yx^{2}yx^{-2},2 1 1 2 -1 -1,open,16_2,,
368,4,yx^{2}yx^{-2},2 1 1 2 -1 -1,open,18_1,,
369,5,yx^{2}yx^{-2},2 1 1 2 -1 -1,open,20_1,,
370,6,yx^{2}yx^{-2},2 1 1 2 -1 -1,open,22_1,,
371,7,yx^{2}yx^{-2},2 1 1 2 -1 -1,open,24_1,,
372,1,yxyx^{-1}y^{2},2 1 2 -1 2 2,certified,,ms-train-0172,17
373,2,yxyx^{-1}y^{2},2 1 2 -1 2 2,uncertified,,,
374,3,yxyx^{-1}y^{2},2 1 2 -1 2 2,open,13_1,,
375,4,yxyx^{-1}y^{2},2 1 2 -1 2 2,open,15_1,,
376,5,yxyx^{-1}y^{2},2 1 2 -1 2 2,open,16_1,,
377,6,yxyx^{-1}y^{2},2 1 2 -1 2 2,open,17_{35},,
378,7,yxyx^{-1}y^{2},2 1 2 -1 2 2,open,18_6,,
379,1,y^{3}xyx^{-1},2 2 2 1 2 -1,certified,,ms-train-0173,54
380,2,y^{3}xyx^{-1},2 2 2 1 2 -1,uncertified,,,
381,3,y^{3}xyx^{-1},2 2 2 1 2 -1,certified,,ms-train-0174,26
382,4,y^{3}xyx^{-1},2 2 2 1 2 -1,uncertified,,,
383,5,y^{3}xyx^{-1},2 2 2 1 2 -1,open,17_{32},,
384,6,y^{3}xyx^{-1},2 2 2 1 2 -1,uncertified,,,
385,7,y^{3}xyx^{-1},2 2 2 1 2 -1,open,19_{40},,
386,1,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,certified,,ms-train-0175,44
387,2,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,uncertified,,,
388,3,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,certified,,ms-train-0176,29
389,4,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,uncertified,,,
390,5,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,open,17_{31},,
391,6,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,uncertified,,,
392,7,x^{-1}y^{-3}xy^{-1},-1 -2 -2 -2 1 -2,open,19_{42},,
393,1,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,certified,,ms-train-0177,30
394,2,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,uncertified,,,
395,3,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,certified,,ms-train-0178,14
396,4,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,open,15_1,,
397,5,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,open,17_{33},,
398,6,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,uncertified,,,
399,7,y^{3}xy^{-1}x^{-1},2 2 2 1 -2 -1,open,18_9,,
400,1,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,certified,,ms-train-0179,39
401,2,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,uncertified,,,
402,3,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,certified,,ms-train-0180,18
403,4,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,open,15_1,,
404,5,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,open,17_{30},,
405,6,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,uncertified,,,
406,7,x^{-1}y^{-3}xy,-1 -2 -2 -2 1 2,open,18_{11},,
407,1,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,certified,,ms-train-0181,7
408,2,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,certified,,ms-train-0182,15
409,3,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,open,13_1,,
410,4,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,open,15_{10},,
411,5,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,uncertified,,,
412,6,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,open,17_{38},,
413,7,yxy^{-3}x^{-1},2 1 -2 -2 -2 -1,open,18_8,,
414,1,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,certified,,ms-train-0183,26
415,2,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,open,14_2,,
416,3,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,open,16_3,,
417,4,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,open,18_2,,
418,5,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,open,20_2,,
419,6,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,open,22_2,,
420,7,yx^{2}y^{-1}x^{-2},2 1 1 -2 -1 -1,open,24_2,,
421,1,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,certified,,ms-train-0184,13
422,2,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,certified,,ms-train-0185,13
423,3,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,certified,,ms-train-0186,35
424,4,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,certified,,ms-train-0187,36
425,5,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,certified,,ms-train-0188,77
426,6,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,certified,,ms-train-0189,101
427,7,x^{-1}y^{-2}xy^{2},-1 -2 -2 1 2 2,uncertified,,,
428,1,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,certified,,ms-train-0190,14
429,2,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,certified,,ms-train-0191,49
430,3,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,uncertified,,,
431,4,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,uncertified,,,
432,5,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,uncertified,,,
433,6,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,uncertified,,,
434,7,yxy^{-1}x^{-1}y^{-2},2 1 -2 -1 -2 -2,uncertified,,,
435,1,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,certified,,ms-train-0192,18
436,2,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,certified,,ms-train-0193,43
437,3,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,certified,,ms-train-0194,41
438,4,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,open,15_{10},,
439,5,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,open,14_1,,
440,6,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,open,17_{34},,
441,7,yxy^{2}x^{-1}y^{-1},2 1 2 2 -1 -2,open,15_{12},,
442,1,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0195,24
443,2,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0196,20
444,3,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0197,21
445,4,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0198,21
446,5,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0199,12
447,6,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0200,13
448,7,y^{-6},-2 -2 -2 -2 -2 -2,certified,,ms-train-0201,14
449,1,yxy^{2}x^{-1}y,2 1 2 2 -1 2,certified,,ms-train-0202,22
450,2,yxy^{2}x^{-1}y,2 1 2 2 -1 2,certified,,ms-train-0203,67
451,3,yxy^{2}x^{-1}y,2 1 2 2 -1 2,uncertified,,,
452,4,yxy^{2}x^{-1}y,2 1 2 2 -1 2,open,15_{10},,
453,5,yxy^{2}x^{-1}y,2 1 2 2 -1 2,open,14_1,,
454,6,yxy^{2}x^{-1}y,2 1 2 2 -1 2,open,17_{34},,
455,7,yxy^{2}x^{-1}y,2 1 2 2 -1 2,open,21_{34},,
456,1,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,certified,,ms-train-0204,11
457,2,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,certified,,ms-train-0205,14
458,3,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,open,13_1,,
459,4,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,open,15_{11},,
460,5,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,uncertified,,,
461,6,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,open,17_{39},,
462,7,x^{-1}y^{-1}xy^{3},-1 -2 1 2 2 2,open,18_{10},,
463,1,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,certified,,ms-train-0206,18
464,2,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,certified,,ms-train-0207,22
465,3,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,uncertified,,,
466,4,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,uncertified,,,
467,5,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,open,16_4,,
468,6,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,open,19_{35},,
469,7,y^{2}xy^{2}x^{-1},2 2 1 2 2 -1,open,20_{10},,
470,1,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,certified,,ms-train-0208,23
471,2,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,certified,,ms-train-0209,16
472,3,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,open,13_1,,
473,4,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,uncertified,,,
474,5,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,open,17_{32},,
475,6,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,open,16_8,,
476,7,y^{-1}x^{-1}y^{-2}xy,-2 -1 -2 -2 1 2,open,21_{38},,
477,1,yxy^{3}x^{-1},2 1 2 2 2 -1,certified,,ms-train-0210,21
478,2,yxy^{3}x^{-1},2 1 2 2 2 -1,certified,,ms-train-0211,17
479,3,yxy^{3}x^{-1},2 1 2 2 2 -1,uncertified,,,
480,4,yxy^{3}x^{-1},2 1 2 2 2 -1,open,14_1,,
481,5,yxy^{3}x^{-1},2 1 2 2 2 -1,uncertified,,,
482,6,yxy^{3}x^{-1},2 1 2 2 2 -1,open,17_{37},,
483,7,yxy^{3}x^{-1},2 1 2 2 2 -1,open,19_{39},,
484,1,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,certified,,ms-train-0212,20
485,2,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,certified,,ms-train-0213,15
486,3,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,uncertified,,,
487,4,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,open,14_1,,
488,5,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,uncertified,,,
489,6,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,open,17_{40},,
490,7,x^{-1}y^{-1}xy^{-3},-1 -2 1 -2 -2 -2,open,19_{41},,
491,1,y^{2}xyx^{-1}y,2 2 1 2 -1 2,certified,,ms-train-0214,43
492,2,y^{2}xyx^{-1}y,2 2 1 2 -1 2,certified,,ms-train-0215,26
493,3,y^{2}xyx^{-1}y,2 2 1 2 -1 2,uncertified,,,
494,4,y^{2}xyx^{-1}y,2 2 1 2 -1 2,uncertified,,,
495,5,y^{2}xyx^{-1}y,2 2 1 2 -1 2,open,17_{30},,
496,6,y^{2}xyx^{-1}y,2 2 1 2 -1 2,open,16_6,,
497,7,y^{2}xyx^{-1}y,2 2 1 2 -1 2,open,23_{22},,
498,1,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,certified,,ms-train-0216,39
499,2,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,certified,,ms-train-0217,33
500,3,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,uncertified,,,
501,4,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,uncertified,,,
502,5,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,open,17_{33},,
503,6,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,open,16_9,,
504,7,y^{-1}x^{-1}y^{-2}xy^{-1},-2 -1 -2 -2 1 -2,open,23_{23},,
505,1,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,certified,,ms-train-0218,12
506,2,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,certified,,ms-train-0219,63
507,3,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,open,13_1,,
508,4,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,open,15_1,,
509,5,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,open,16_1,,
510,6,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,open,17_1,,
511,7,yxyx^{-1}y^{-3},2 1 2 -1 -2 -2 -2,open,18_7,,
512,1,yxy^{4}x^{-1},2 1 2 2 2 2 -1,certified,,ms-train-0220,24
513,2,yxy^{4}x^{-1},2 1 2 2 2 2 -1,uncertified,,,
514,3,yxy^{4}x^{-1},2 1 2 2 2 2 -1,certified,,ms-train-0221,21
515,4,yxy^{4}x^{-1},2 1 2 2 2 2 -1,uncertified,,,
516,5,yxy^{4}x^{-1},2 1 2 2 2 2 -1,uncertified,,,
517,6,yxy^{4}x^{-1},2 1 2 2 2 2 -1,open,17_{38},,
518,7,yxy^{4}x^{-1},2 1 2 2 2 2 -1,uncertified,,,
519,1,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,certified,,ms-train-0222,21
520,2,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,certified,,ms-train-0223,15
521,3,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,uncertified,,,
522,4,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,open,14_1,,
523,5,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,uncertified,,,
524,6,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,open,17_{37},,
525,7,yxy^{3}x^{-1}y,2 1 2 2 2 -1 2,open,19_{39},,
526,1,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,certified,,ms-train-0224,37
527,2,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,open,15_7,,
528,3,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,open,17_{13},,
529,4,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,open,19_{12},,
530,5,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,open,21_{11},,
531,6,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,open,23_6,,
532,7,yxyxy^{-1}x^{-2},2 1 2 1 -2 -1 -1,open,25_{12},,
533,1,yxyxyx^{-2},2 1 2 1 2 -1 -1,certified,,ms-train-0225,55
534,2,yxyxyx^{-2},2 1 2 1 2 -1 -1,open,15_6,,
535,3,yxyxyx^{-2},2 1 2 1 2 -1 -1,open,17_{12},,
536,4,yxyxyx^{-2},2 1 2 1 2 -1 -1,open,19_{11},,
537,5,yxyxyx^{-2},2 1 2 1 2 -1 -1,open,21_{10},,
538,6,yxyxyx^{-2},2 1 2 1 2 -1 -1,open,23_5,,
539,7,yxyxyx^{-2},2 1 2 1 2 -1 -1,open,25_{11},,
540,1,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,certified,,ms-train-0226,21
541,2,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,uncertified,,,
542,3,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,uncertified,,,
543,4,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,open,15_{10},,
544,5,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,open,14_1,,
545,6,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,open,17_{34},,
546,7,yxy^{2}x^{-1}y^{2},2 1 2 2 -1 2 2,open,21_{34},,
547,1,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,certified,,ms-train-0227,14
548,2,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,certified,,ms-train-0228,33
549,3,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,certified,,ms-train-0229,52
550,4,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,open,15_{10},,
551,5,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,open,14_1,,
552,6,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,open,17_{34},,
553,7,yxy^{2}x^{-1}y^{-2},2 1 2 2 -1 -2 -2,open,15_{14},,
554,1,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,certified,,ms-train-0230,32
555,2,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,uncertified,,,
556,3,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,open,13_1,,
557,4,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,open,15_1,,
558,5,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,open,16_1,,
559,6,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,open,17_{35},,
560,7,yxyx^{-1}y^{3},2 1 2 -1 2 2 2,open,18_6,,
561,1,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,certified,,ms-train-0231,16
562,2,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,certified,,ms-train-0232,18
563,3,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,uncertified,,,
564,4,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,open,14_1,,
565,5,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,uncertified,,,
566,6,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,open,17_{37},,
567,7,yxy^{3}x^{-1}y^{-1},2 1 2 2 2 -1 -2,open,19_{39},,
568,1,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,certified,,ms-train-0233,75
569,2,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,uncertified,,,
570,3,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,open,17_9,,
571,4,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,open,19_{28},,
572,5,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,open,21_{26},,
573,6,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,open,23_{19},,
574,7,x^{-2}y^{-2}x^{2}y^{-1},-1 -1 -2 -2 1 1 -2,open,25_{28},,
575,1,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,certified,,ms-train-0234,15
576,2,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,certified,,ms-train-0235,10
577,3,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,open,13_1,,
578,4,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,certified,,ms-train-0236,47
579,5,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,open,17_{32},,
580,6,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,open,16_8,,
581,7,y^{2}x^{-1}y^{-2}xy,2 2 -1 -2 -2 1 2,open,21_{38},,
582,1,y^{4}xyx^{-1},2 2 2 2 1 2 -1,certified,,ms-train-0237,70
583,2,y^{4}xyx^{-1},2 2 2 2 1 2 -1,certified,,ms-train-0238,52
584,3,y^{4}xyx^{-1},2 2 2 2 1 2 -1,open,13_1,,
585,4,y^{4}xyx^{-1},2 2 2 2 1 2 -1,certified,,ms-train-0239,30
586,5,y^{4}xyx^{-1},2 2 2 2 1 2 -1,uncertified,,,
587,6,y^{4}xyx^{-1},2 2 2 2 1 2 -1,open,16_8,,
588,7,y^{4}xyx^{-1},2 2 2 2 1 2 -1,open,19_{46},,
589,1,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,certified,,ms-train-0240,57
590,2,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,certified,,ms-train-0241,38
591,3,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,uncertified,,,
592,4,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,certified,,ms-train-0242,15
593,5,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,open,16_1,,
594,6,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,open,16_9,,
595,7,y^{4}xy^{-1}x^{-1},2 2 2 2 1 -2 -1,open,19_{47},,
596,1,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,certified,,ms-train-0243,20
597,2,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,uncertified,,,
598,3,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,certified,,ms-train-0244,34
599,4,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,open,14_1,,
600,5,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,uncertified,,,
601,6,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,uncertified,,,
602,7,y^{3}xy^{2}x^{-1},2 2 2 1 2 2 -1,open,21_{40},,
603,1,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,certified,,ms-train-0245,58
604,2,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,uncertified,,,
605,3,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,certified,,ms-train-0246,44
606,4,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,uncertified,,,
607,5,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,open,17_{32},,
608,6,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,uncertified,,,
609,7,y^{3}xyx^{-1}y,2 2 2 1 2 -1 2,open,19_{40},,
610,1,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,certified,,ms-train-0247,43
611,2,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,uncertified,,,
612,3,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,certified,,ms-train-0248,33
613,4,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,uncertified,,,
614,5,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,open,17_{32},,
615,6,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,uncertified,,,
616,7,y^{3}xyx^{-1}y^{-1},2 2 2 1 2 -1 -2,open,19_{40},,
617,1,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,certified,,ms-train-0249,15
618,2,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,uncertified,,,
619,3,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,certified,,ms-train-0250,14
620,4,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,open,15_{11},,
621,5,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,open,16_5,,
622,6,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,certified,,ms-train-0251,96
623,7,y^{3}xy^{-2}x^{-1},2 2 2 1 -2 -2 -1,open,19_{45},,
624,1,y^{3}xy^{-1}x^{-1}y,2 2 2 1 -2 -1 2,certified,,ms-train-0252,49
625,2,y^{3}xy^{-1}x^{-1}y,2 2 2 1 -2 -1 2,certified,,ms-train-0253,95
626,3,y^{3}xy^{-1}x^{-1}y,2 2 2 1 -2 -1 2,certified,,ms-train-0254,19
627,4,y^{3}xy^{-1}x^{-1}y,2 2 2 1 -2 -1 2,open,15_1,,
